index	IgAKO	IgAKO.1	IgAKO.2	IgAKO.3	IgAKO.4	IgAKO.5	IgAKO.6	IgAKO.7	IgAKO.8	IgAKO.9	IgAKO.10	IgAKO.11	IgAKO.12	IgAKO.13	IgAKO.14	IgAKO.15	IgAKO.16	WT	WT.1	WT.2	WT.3	WT.4	WT.5	WT.6	WT.7	WT.8	WT.9	WT.10	WT.11	WT.12	WT.13	WT.14	WT.15	Unnamed: 34	Feature_ID	Taxon	Confidence
index	CG33-33	CG32-32	CG24-24	CG25-25	CG26-26	CG13-13	CG12-12	CG11-11	CG10-10	CG08-8	CG07-7	CG27-27	CG28-28	CG29-29	CG30-30	CG31-31	CG09-9	CG22-22	CG23-23	CG21-21	CG01-1	CG19-19	CG18-18	CG16-16	CG15-15	CG14-14	CG06-6	CG05-5	CG04-4	CG03-3	CG02-2	CG20-20	CG17-17	id			
62a632532998e97d7a086e212318e895	4.399677347596295	-0.1898831159539507	-0.2037419518560559	-0.2173943376856701	-0.1926729309963823	-0.1932030585425272	6.290546880071783	-0.1796197715045831	-0.1828225263573639	3.168892052047904	5.927388767560549	-0.2068305760851403	-0.1926845120861108	6.4532090608456585	-0.2230483170372827	3.672980903366953	5.765132130367618	-0.1938125871369975	1.177896442891295	-0.1584232094880785	-0.1970648132844544	-0.1866781492047414	-0.1992369499843341	-0.1991090853642709	-0.1950772480345034	-0.2120413485861976	-0.2264151297558009	-0.1818241806055916	-0.2109160434274569	-0.241983812429447	-0.2110361687922798	-0.1880030387218144	-0.2142615619905717	62a632532998e97d7a086e212318e895	62a632532998e97d7a086e212318e895	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__	0.9997917220992024
760e4e0b7ae803e56da0635c0ffa8721	8.577459915379281	-0.1898831159539507	-0.2037419518560559	-0.2173943376856701	-0.1926729309963823	6.459857127415836	-0.1730918420912411	7.101298387217636	-0.1828225263573639	-0.1853594835382903	6.561874448942195	5.956365046508162	4.026581363621379	-0.1781595394104106	3.1815356001947337	3.746547841479189	-0.2013695713529581	-0.1938125871369975	-0.1833286171502863	-0.1584232094880785	-0.1970648132844544	-0.1866781492047414	-0.1992369499843341	-0.1991090853642709	-0.1950772480345034	5.510492491721381	-0.2264151297558009	6.877406427694328	-0.2109160434274569	-0.241983812429447	-0.2110361687922798	-0.1880030387218144	-0.2142615619905717	760e4e0b7ae803e56da0635c0ffa8721	760e4e0b7ae803e56da0635c0ffa8721	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.9999846702225524
13bf76ab93d09d774b36057a14c40176	7.010987401425622	-0.1898831159539507	-0.2037419518560559	-0.2173943376856701	-0.1926729309963823	-0.1932030585425272	6.547163540965223	-0.1796197715045831	-0.1828225263573639	3.52676347065647	6.393281839981898	-0.2068305760851403	-0.1926845120861108	6.515513750055439	-0.2230483170372827	6.596745924867319	-0.2013695713529581	-0.1938125871369975	3.988887109571686	-0.1584232094880785	-0.1970648132844544	-0.1866781492047414	-0.1992369499843341	-0.1991090853642709	-0.1950772480345034	-0.2120413485861976	-0.2264151297558009	-0.1818241806055916	-0.2109160434274569	-0.241983812429447	-0.2110361687922798	-0.1880030387218144	-0.2142615619905717	13bf76ab93d09d774b36057a14c40176	13bf76ab93d09d774b36057a14c40176	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__	0.999764958252882
84dac0c3bb598af90b8b1133327b01eb	6.8227873387354	3.9950296400005256	-0.2037419518560559	-0.2173943376856701	-0.1926729309963823	-0.1932030585425272	4.520249002510154	-0.1796197715045831	-0.1828225263573639	-0.1853594835382903	-0.1859870506474061	5.702410688509373	4.174687512592053	-0.1781595394104106	-0.2230483170372827	-0.2040164754678694	-0.2013695713529581	-0.1938125871369975	-0.1833286171502863	-0.1584232094880785	-0.1970648132844544	-0.1866781492047414	-0.1992369499843341	-0.1991090853642709	-0.1950772480345034	-0.2120413485861976	-0.2264151297558009	-0.1818241806055916	-0.2109160434274569	-0.241983812429447	-0.2110361687922798	-0.1880030387218144	-0.2142615619905717	84dac0c3bb598af90b8b1133327b01eb	84dac0c3bb598af90b8b1133327b01eb	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.999786429636316
f5c5a4f4caece0381bd6c77236d4ce59	4.136984953638053	-0.1898831159539507	-0.2037419518560559	-0.2173943376856701	-0.1926729309963823	-0.1932030585425272	3.308410062655924	-0.1796197715045831	-0.1828225263573639	0.6352599730437641	3.619884439999813	-0.2068305760851403	-0.1926845120861108	4.121853049933093	-0.2230483170372827	3.5528813039610365	3.3117463186592344	-0.1938125871369975	1.5343461662243685	-0.1584232094880785	-0.1970648132844544	-0.1866781492047414	-0.1992369499843341	-0.1991090853642709	-0.1950772480345034	-0.2120413485861976	-0.2264151297558009	-0.1818241806055916	-0.2109160434274569	-0.241983812429447	-0.2110361687922798	-0.1880030387218144	-0.2142615619905717	f5c5a4f4caece0381bd6c77236d4ce59	f5c5a4f4caece0381bd6c77236d4ce59	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__	0.9998242184822506
ce7dd1caf4448800f7c81f66f7a0122d	-0.1793235314152207	-0.1898831159539507	-0.2037419518560559	-0.2173943376856701	-0.1926729309963823	-0.1932030585425272	-0.1730918420912411	6.252446473710157	-0.1828225263573639	-0.1853594835382903	5.392979430188614	5.256096441943291	-0.1926845120861108	-0.1781595394104106	5.077013618871473	-0.2040164754678694	5.467643092204459	-0.1938125871369975	-0.1833286171502863	-0.1584232094880785	-0.1970648132844544	-0.1866781492047414	-0.1992369499843341	4.274396360790347	-0.1950772480345034	-0.2120413485861976	-0.2264151297558009	-0.1818241806055916	-0.2109160434274569	-0.241983812429447	-0.2110361687922798	4.452722591996546	-0.2142615619905717	ce7dd1caf4448800f7c81f66f7a0122d	ce7dd1caf4448800f7c81f66f7a0122d	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.999984103058802
3d10c306cdaad816eb60d0c0602ad622	4.76843105905068	3.8854054869884815	-0.2037419518560559	-0.2173943376856701	-0.1926729309963823	-0.1932030585425272	6.755098629980293	-0.1796197715045831	-0.1828225263573639	-0.1853594835382903	-0.1859870506474061	-0.2068305760851403	4.424243424723727	-0.1781595394104106	-0.2230483170372827	-0.2040164754678694	-0.2013695713529581	-0.1938125871369975	-0.1833286171502863	-0.1584232094880785	-0.1970648132844544	-0.1866781492047414	-0.1992369499843341	-0.1991090853642709	-0.1950772480345034	-0.2120413485861976	-0.2264151297558009	-0.1818241806055916	-0.2109160434274569	-0.241983812429447	-0.2110361687922798	-0.1880030387218144	-0.2142615619905717	3d10c306cdaad816eb60d0c0602ad622	3d10c306cdaad816eb60d0c0602ad622	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.9997717760184944
3947f403b7b51ab6a0441b7e914c2815	-0.1793235314152207	-0.1898831159539507	-0.2037419518560559	4.654110610532627	-0.1926729309963823	-0.1932030585425272	-0.1730918420912411	-0.1796197715045831	-0.1828225263573639	-0.1853594835382903	-0.1859870506474061	-0.2068305760851403	-0.1926845120861108	-0.1781595394104106	5.85684920121901	6.147636825717386	-0.2013695713529581	-0.1938125871369975	-0.1833286171502863	-0.1584232094880785	-0.1970648132844544	-0.1866781492047414	-0.1992369499843341	-0.1991090853642709	-0.1950772480345034	-0.2120413485861976	-0.2264151297558009	-0.1818241806055916	-0.2109160434274569	1.4033193629505598	-0.2110361687922798	-0.1880030387218144	-0.2142615619905717	3947f403b7b51ab6a0441b7e914c2815	3947f403b7b51ab6a0441b7e914c2815	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9999977208273354
0c4cea2256531d3721b18c96c0064e62	-0.1793235314152207	-0.1898831159539507	-0.2037419518560559	-0.2173943376856701	-0.1926729309963823	-0.1932030585425272	-0.1730918420912411	-0.1796197715045831	7.172711649737788	-0.1853594835382903	-0.1859870506474061	-0.2068305760851403	-0.1926845120861108	-0.1781595394104106	6.240512574421089	-0.2040164754678694	-0.2013695713529581	-0.1938125871369975	-0.1833286171502863	-0.1584232094880785	-0.1970648132844544	-0.1866781492047414	-0.1992369499843341	-0.1991090853642709	-0.1950772480345034	-0.2120413485861976	-0.2264151297558009	-0.1818241806055916	-0.2109160434274569	-0.241983812429447	-0.2110361687922798	-0.1880030387218144	-0.2142615619905717	0c4cea2256531d3721b18c96c0064e62	0c4cea2256531d3721b18c96c0064e62	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__gnavus	0.9908163266760048
